company_name,country,website,product_family,main_products,manufacturer_evidence,estimated_employee_range,export_evidence,certifications,turkey_presence,existing_turkey_distributor,export_contact_name,export_contact_title,export_email,linkedin_company_url,source_urls,trust_score_0_100,commercial_score_0_100,atlas_score_0_100,status,notes
"Galigani Filtri S.r.l.","Italy","https://www.galigani.it/","Industrial filtration products","Filter presses; feed pumps; sludge-dewatering systems","Italian Trade Agency fair catalogue identifies Italian manufacturing and an export manager","30-100","Export manager named in ICE fair catalogue and international exhibition activity","UNKNOWN","No obvious Turkey office found in public review","NONE FOUND","Francesca Leonardi","Export Manager","UNKNOWN","UNKNOWN","https://www.galigani.it/; https://www.ice.it/it/sites/default/files/inline-files/finalCATALOGOwetex25_0.pdf",84,88,86,"GO","Named export owner; ideal for project and municipal/industrial wastewater angle"
"Billi Seals Italia","Italy","https://www.billi-seals.it/","Mechanical seals / gaskets / sealing products","Replacement mechanical seals; industrial gaskets; floating seals","Official site presents a physical Italian operation and technical seal range","10-50","Site says products are trusted worldwide; Germany affiliate shown","UNKNOWN","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","office@billi-seals.it","UNKNOWN","https://www.billi-seals.it/",73,82,77.5,"WATCH","Manufacturing depth is less explicit than stronger peers"
"SPETECH Sp. z o.o.","Poland","https://www.spetech.com.pl/en","Mechanical seals / gaskets / sealing products","Special gaskets; packings; weld-ring and high-duty metallic seals","Official site describes Polish manufacturing centre; engineering and laboratory","51-200","Official site states supply to 100 countries over 30 years","ISO 9001; ISO 15848-1/API 624 laboratory capability","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://www.spetech.com.pl/en; https://www.spetech.com.pl/sites/default/files/download/Quality%20%26%20Approvals_0.pdf",95,94,94.5,"GO","Best overall fit: specialized; repeatable; export-proven and engineering-led"
"ANGA Uszczelnienia Mechaniczne Sp. z o.o.","Poland","https://www.anga.com.pl/en/","Mechanical seals / gaskets / sealing products","Component; cartridge; PTFE; metal-bellows and special mechanical seals","Official site identifies Polish production and 40+ years of seal manufacturing","101-200","Official site states about half of sales go to 40+ foreign markets","UNKNOWN","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","anga@anga.com.pl","UNKNOWN","https://www.anga.com.pl/en/; https://www.anga.com.pl/wp-content/uploads/2023/09/catalogue-mechanical-seals.pdf",90,94,92,"GO","Very strong pump; mixer and reactor aftermarket fit"
"GTM Process Valves Sp. z o.o.","Poland","https://www.gtm-pv.pl/","Industrial valves / process valves","Globe; gate; check; knife-gate valves and strainers","Official site identifies own SW and GTM production and a separate production address","51-200","Official site says products primarily reach European customers","EN; ANSI product standards","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","gtm@gtm-pv.pl","UNKNOWN","https://www.gtm-pv.pl/",85,88,86.5,"GO","Mixed manufacturing/distribution model; qualify own-made range only"
"WAKMET Industrial Valves","Poland","https://www.wakmet.com.pl/","Industrial valves / process valves","High-pressure globe; gate; check; butterfly and regulating valves","Credible industry profile states WAKMET manufactures steel valves from DN4 to DN1500","51-200","International standards and broad pressure/temperature range indicate export readiness","ISO 9001; PED; GOST-R; TRD110","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://www.wakmet.com.pl/; https://www.plantautomation-technology.com/suppliers/wakmet-industrial-valves",88,87,87.5,"GO","Good energy/process fit; confirm current website and export contact"
"ZETKAMA Sp. z o.o.","Poland","https://www.zetkama.com/","Industrial valves / process valves","Stop; control; check; safety; gate and butterfly valves; strainers","Official site describes Polish production facilities and foundry with 80 years of experience","201-500","Official site states sales in more than 75 foreign markets","EN; ISO; PED","Visible international distribution footprint; Turkey channel not confirmed in this pass","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://www.zetkama.com/",94,82,88,"WATCH","Excellent company but likely more channel-mature; distributor conflict check required"
"Zakład Metalurgiczny PILZNO","Poland","https://www.pilzno.pl/","Industrial valves / process valves","Industrial valves for energy; chemical and refrigeration applications","Official English catalogue states more than 70 years of industrial-valve production","51-200","Catalogue lists foreign customers and export references","ISO 9001:2015; PED 2014/68/EU","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://www.pilzno.pl/; https://www.pilzno.pl/wp-content/uploads/2019/Katalogi/Katalog2019ENG.pdf",87,86,86.5,"GO","Traditional producer with export proof; digital responsiveness uncertain"
"Allfil Filter Technologies Polska Sp. z o.o.","Poland","https://allfil.pl/","Industrial filtration products","Filter bags; cartridges; housings; liquid and air separation systems","Official site says it designs and manufactures filtration and separation technologies","51-200","Official site states shipments to 27 countries and activity across Europe","UNKNOWN","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","allfil@allfil.eu","UNKNOWN","https://allfil.pl/",87,93,90,"GO","Excellent consumables-led recurring revenue and broad sector relevance"
"EKO-PRESS","Poland","https://www.eko-press.com.pl/","Industrial filtration products","Chamber and membrane filter presses; plates; cloths; controls","Official site states manufacture of filter presses and 500+ installations since 1995","30-100","Official site names installations across multiple European countries","UNKNOWN","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","biuro@eko-press.com.pl","UNKNOWN","https://www.eko-press.com.pl/",85,89,87,"GO","Good industrial wastewater project angle plus replacement cloth opportunity"
"WF PZL Zakład Doświadczalny Sp. z o.o.","Poland","https://wfzd.pl/","Industrial filtration products","Industrial filters; hydraulic filter elements; custom heavy-duty filters","Official site calls it Poland's largest producer of industrial and hydraulic filters with its own development centre","30-100","Trade-fair activity abroad shown; explicit export share not stated","UNKNOWN","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://wfzd.pl/",80,90,85,"GO","Strong mining/construction replacement demand; export process needs qualification"
"Kragum Sp. z o.o.","Poland","https://www.kragum.com.pl/en","Mechanical seals / gaskets / sealing products","CNC-turned; vulcanized and cut seals; mechanical seals; engineering plastics","Official site identifies manufacturer with CNC production and 40 years' experience","30-100","English site and B2B technical support; explicit export footprint not quantified","UNKNOWN","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://www.kragum.com.pl/en",80,88,84,"GO","Flexible custom production; distinguish manufactured from distributed items"
"KE-ARM s.r.o.","Czech Republic","https://www.kearm.eu/","Industrial valves / process valves","Ball valves; three-way valves; vertical check valves; special-alloy valves","Official site states development; manufacture; assembly and service at its Opava plant since 1991","51-200","Official site explicitly references certificates for export and foreign markets","PED; Fire-Safe; nuclear customer authorization; NDT capabilities","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://www.kearm.eu/; https://www.kearm.eu/o-spolecnosti.html",92,91,91.5,"GO","Highly engineered and customization-friendly; strong Atlas fit"
"ARAKO spol. s r.o.","Czech Republic","https://www.arako.cz/en/","Industrial valves / process valves","Valves for nuclear; thermal power; gas; chemical and petrochemical plants","Official site identifies Czech valve manufacturing since 1953","201-500","Official site describes worldwide recognition; company material lists export countries","UNKNOWN","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://www.arako.cz/en/; https://www.arako.cz/wp-content/uploads/2016/09/valve-world-jubilee.pdf",92,82,87,"GO","Strong credentials but nuclear focus and size may slow partner onboarding"
"ABO valve s.r.o.","Czech Republic","https://www.abovalve.com/","Industrial valves / process valves","Butterfly; knife-gate; ball and check valves","Official site calls ABO the Czech Republic's largest industrial butterfly/check-valve manufacturer","201-500","Official site states it is one of Europe's largest in its category","ISO 9001; TÜV; DVGW; Lloyd's Register; API 609","Possible established international channels; Turkey channel not confirmed","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://www.abovalve.com/",94,83,88.5,"WATCH","Excellent target but likely channel-mature; perform Turkey distributor check first"
"Bílek Filtry s.r.o.","Czech Republic","https://filtrace.com/","Industrial filtration products","Crossflow; diatomaceous-earth and microfiltration systems; sanitation equipment","Official site identifies Czech manufacture of stainless filtration equipment since 1990","30-100","Official site states delivery and application in the Czech Republic and abroad","UNKNOWN","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://filtrace.com/",84,92,88,"GO","Excellent food; beverage; chemical and pharma process angle"
"FILKOM s.r.o.","Czech Republic","https://www.filkom.cz/en/","Industrial filtration products","Air; gas and liquid filter elements; mobile filtration units","Official site says it is a leading Czech producer and lists production/design services","30-100","English site and foreign-equipment substitution capability; export scale not stated","UNKNOWN","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","filkom@filkom.cz","UNKNOWN","https://www.filkom.cz/en/",81,92,86.5,"GO","Replacement-element model has high recurring-purchase potential"
"CIPRES FILTR BRNO s.r.o.","Czech Republic","https://www.cipres.cz/","Industrial filtration products","Industrial extraction; dust filtration; separators and material discharge systems","Official site says it manufactures about 90% of delivered technology in-house","51-200","Multilingual site and cross-industry applications suggest export readiness","UNKNOWN","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://www.cipres.cz/de/",83,87,85,"GO","System sales are project-heavy; aftermarket bags/components can recur"
"KAYSER Filtertech Czech Republic s.r.o.","Czech Republic","https://www.kayser-filtertech.cz/","Industrial filtration products","Bag; panel and textile filters for gas and liquid filtration","Official site describes Czech filter-element manufacturing with 50+ years of sector history","51-200","Part of an international filter group; export/channel reach likely established","Quality certificate stated; exact standard UNKNOWN","International group presence; Turkey channel not confirmed","UNKNOWN","UNKNOWN","UNKNOWN","sales-cz@kayser-filtertech.com","UNKNOWN","https://cs.kayser-filtertech.cz/",86,84,85,"WATCH","Group-owned and potentially channel-mature; still commercially relevant"
"PEVEKO spol. s r.o.","Czech Republic","https://www.peveko.cz/","Industrial valves / process valves","Solenoid; pneumatic and specialty control valves","Official company site presents proprietary valve products and company manufacturing history","30-100","International-facing product presentation; explicit export evidence limited","UNKNOWN","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","peveko@peveko.cz","UNKNOWN","https://www.peveko.cz/",74,82,78,"WATCH","Promising niche but needs stronger manufacturing/export documentation"
"Valtec Co. Ltd.","Taiwan","https://www.valtec.com.tw/","Industrial valves / process valves","Ball; gate; globe; check; butterfly; high-purity and sanitary valves","Official site details in-house casting; machining; fabrication; assembly and component production","51-200","OEM/ODM positioning and global industrial sales language","API 607; ISO 15848-1; API 641","No obvious Turkey office found in targeted public review","NONE FOUND","UNKNOWN","UNKNOWN","valtec@valtec.com.tw","https://tw.linkedin.com/company/valtec-taiwan","https://www.valtec.com.tw/; https://tw.linkedin.com/company/valtec-taiwan",92,93,92.5,"GO","Top-tier private-label and representation fit with broad process relevance"
"Kingtron Precision Industries Inc.","Taiwan","https://www.kingtron.com.tw/","Industrial valves / process valves","Stainless and carbon-steel ball valves; high-pressure and special valves","Official site identifies Taiwan manufacturing with 20+ years of production experience","51-200","Explicit OEM/ODM and overseas-market focus; worldwide corporate customers stated","ISO 9001; CE/PED; CRN; API 607; ISO 15848-1","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://www.kingtron.com.tw/about",91,94,92.5,"GO","Very strong OEM/private-label posture and likely openness to channel partner"
"Lins Valve Industrial Co. Ltd.","Taiwan","https://www.linsvalve.com/","Industrial valves / process valves","Stainless ball valves; liquid-cooling and OEM/ODM valve assemblies","Official site states integrated casting; CNC machining; assembly and testing since 1969","51-200","Exports to US; Canada; UK; Middle East; Germany and Japan are listed","ISO 9001:2015; CSA; ASSE; WRAS; UL","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://www.linsvalve.com/",92,88,90,"GO","Credible OEM supplier; data-centre positioning is adjacent to core process focus"
"Nico Valves Corp.","Taiwan","https://www.ni-co.com/","Industrial valves / process valves","Industrial ball; gate; globe; check and butterfly valves","Official site identifies Taiwan/China manufacturing and product testing capabilities","51-200","Official site says it serves worldwide customers","ISO 9001; ABS; CE; API","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://www.ni-co.com/",87,88,87.5,"GO","Broad range; verify Taiwan-made share and channel policy"
"Astech Valve Co. Ltd.","Taiwan","https://www.astech-valve.com/","Industrial valves / process valves","Cast check valves and ball valves","ISO certificate scope states design and manufacture at Taiwan address","30-100","English site and certification support international supply; export scale not quantified","ISO 9001:2015","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://www.astech-valve.com/; https://www.astech-valve.com/files/ISO%E8%AD%89%E6%9B%B8-%E8%8B%B1%E6%96%87%E7%89%882022-12-18%20until%202025-12-17.pdf",79,86,82.5,"GO","Good smaller candidate; certificate shown in search may need renewal check"
"EMICO Enterprise Co. Ltd.","Taiwan","https://www.emico.com.tw/","Industrial valves / process valves","Industrial ball valves and automated valve packages","Industry cover story identifies Taiwan headquarters and ball-valve manufacturing","51-200","API-oriented export positioning and international industry coverage","ISO 9001; API 6D","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://www.emico.com.tw/; https://valve-world.net/wp-content/uploads/sites/21/2022/11/Emico-Cover-Story.pdf",86,89,87.5,"GO","Strong process fit; direct website verification should precede outreach"
"Erving Seal Enterprises Co. Ltd.","Taiwan","https://www.ervseal.com.tw/","Mechanical seals / gaskets / sealing products","Mechanical seals; silicon and tungsten carbide; carbon; packing","Official site says specialist manufacturer and exporter of mechanical seals since 1984","30-100","Official site lists sales to USA; South America; Middle East and Asia","ISO 9001","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","erving@ervseal.com.tw","UNKNOWN","https://www.ervseal.com.tw/about.html",90,95,92.5,"GO","Elite repeat-purchase fit; explicit exporter and customization capability"
"Chin Tai Oil Seals Industry Co. Ltd.","Taiwan","https://www.chintaioilseals.com/","Mechanical seals / gaskets / sealing products","Industrial oil seals and custom sealing components","Official site states a 12000 m² factory; CNC moulding and testing laboratory since 1978","51-200","Official site states service to clients in 30+ countries","ISO 9001:2015; DIN 3760; RoHS","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://www.chintaioilseals.com/",91,90,90.5,"GO","Strong export-ready consumables candidate; more rotating-equipment than process seals"
"NIYOK Sealing Parts Co. Ltd.","Taiwan","https://www.niyok.com.tw/en/page/index.html","Mechanical seals / gaskets / sealing products","Oil seals; O-rings; gaskets and custom rubber products","Official site identifies Taiwan manufacturing and 40 years of sealing-component experience","51-200","Broad international industry positioning and English catalogue","ISO 9001; IATF 16949","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://www.niyok.com.tw/en/page/index.html",88,89,88.5,"GO","Broad repeat-order potential; automotive mix may reduce focus"
"NAK Sealing Technologies Corp.","Taiwan","https://www.nak.com.tw/","Mechanical seals / gaskets / sealing products","Oil seals; technical seals; wear sleeves","Official site identifies registered manufacturer with 50+ years of production","501+","Global OE collaboration and worldwide distribution network stated","ISO 9001; ISO 14001; ISO 45001; ISO 50001; ISO 14064-1; IATF 16949","Likely globally channel-mature; Turkey coverage not resolved","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://www.nak.com.tw/; https://www.nak.com.tw/assets/uploads/downloadpdf/298/1/2024%E5%B9%B4%E6%B0%B8%E7%BA%8C%E5%A0%B1%E5%91%8A%E6%9B%B8-%E8%8B%B1%E6%96%87.pdf",97,78,87.5,"NO-GO","Outside preferred size and likely mature distribution network"
"Soosung Valve Industry Co. Ltd.","South Korea","https://www.soosungvalve.com/","Industrial valves / process valves","Dual-plate; nozzle; tilting and specialty check valves; cryogenic valves","Official site states specialty-valve manufacturing since 1999 and factory history","51-200","Korea International Trade Association membership and global-maker ambition stated","ISO 9001; API 6D; API 607/API 6FA; KC","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://www.soosungvalve.com/about-us",90,92,91,"GO","Specialty range avoids commodity trap and suits project representation"
"Kinka Kikai Industries Co. Ltd.","South Korea","https://www.kinkavalves.com/","Industrial valves / process valves","Cast and forged steel; pressure-seal; cryogenic and special-alloy valves","Official site states 100% Korean production at Changwon facility","51-200","English export site targets international plant managers and emergency supply","API 600; API 603; API 623; API 6D; API 602","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://www.kinkavalves.com/",91,88,89.5,"GO","High technical barrier; longer EPC qualification cycle"
"KMC Valve Inc.","South Korea","https://kmcv.co.kr/en/main","Industrial valves / process valves","Fully welded; side-entry; cryogenic and district-energy ball valves","Official site calls KMC a global valve manufacturing company and lists Korean plant address","51-200","English site and global-manufacturer positioning","API 6D product line","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","ds@kmcv.co.kr","UNKNOWN","https://kmcv.co.kr/en/main",84,91,87.5,"GO","District energy and industrial gas relevance; contact appears direct"
"EL VOLA Korea Co. Ltd.","South Korea","https://el-vola.kr/","Industrial valves / process valves","Gate; globe; check; ball and tailor-made special-alloy valves; strainers","Official site states global manufacture of standard and tailor-made valves since 2015","30-100","Explicit global-manufacturer positioning across oil; gas; petrochemical; power and marine","ISO 9001:2015; API 607; ABSA","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://el-vola.kr/",81,90,85.5,"GO","Young but technically credible; verify reference list and factory depth"
"HS Valve Co. Ltd.","South Korea","https://www.hsvalve.co.kr/","Industrial valves / process valves","General industrial; flanged ball; insulated and specialty valves","Official catalogue calls HS Korea's largest general valve maker and documents product development","201-500","International certification set and English catalogue demonstrate export orientation","ISO 9001; API 6D; API 607; CE; KS; KGS","Potential mature export channels; Turkey distributor not resolved","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://www.hsvalve.co.kr/; https://www.hsvalve.co.kr/Down/Ecatalog/163952_2021111501.pdf",93,84,88.5,"WATCH","Strong benchmark but channel maturity and size may reduce openness"
"PK Valve & Engineering Co. Ltd.","South Korea","https://www.pkvne.com/","Industrial valves / process valves","Gate; globe; check; ball; plug and butterfly valves","Company pre-qualification package documents valve manufacturing and approvals","201-500","International EPC-style prequalification and approval package","API Q1; API 6D; KEPIC MN","Potential mature project channels; Turkey distributor not resolved","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://www.pkvne.com/; https://www.pkvne.com/share/files/Pre_Qualification_230901.pdf",92,82,87,"WATCH","High credibility but likely formal vendor-channel requirements"
"Dongsan Valve Co. Ltd.","South Korea","https://www.dongsanvalve.com/","Industrial valves / process valves","Ball and industrial process valves","Current company profile documents manufacturing history; registrations and valve patents","51-200","Supplier registrations and English prequalification profile support export readiness","API 6D","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://www.dongsanvalve.com/; https://www.thaipnb.co.th/wp-content/uploads/2024/02/Dongsan-Valve-Profile-for-PQ-2023-GENERAL_2023.07.01.pdf",83,87,85,"GO","Promising mid-market valve target; verify website responsiveness"
"Hansung Tech Co. Ltd.","South Korea","https://hansungtech.gobizkorea.com/","Mechanical seals / gaskets / sealing products","Mechanical seals; gland packing; O-rings; rotary-shaft and cylinder seals","Korean SME portal profile states mold and seal manufacturing since 1978","30-100","Supplies major Korean industrial users; portal supports export discovery","ISO 9001","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://hansungtech.gobizkorea.com/",82,91,86.5,"GO","Strong industrial references; lacks standalone export contact/site depth"
"SEDA Filter","South Korea","https://www.sedafilter.com/","Industrial filtration products","Marine; power-generation; mining; diesel and high-performance filter elements","Official site states Korean factory production and 35 years of OEM manufacturing","30-100","Supplies 50+ countries and named global OEMs","ISO 9001","No obvious Turkey office found in targeted public review","NONE FOUND","UNKNOWN","UNKNOWN","sales@sedafilter.com","UNKNOWN","https://www.sedafilter.com/; https://www.sedafilter.com/contact",91,95,93,"GO","Outstanding repeat-purchase fit; public contact point is in Australia so confirm contracting entity"
"Hanseal Co. Ltd.","South Korea","https://eng.sealhs.co.kr/","Mechanical seals / gaskets / sealing products","O-rings; oil seals and engineered industrial sealing solutions","Official company material states sealing production since 1978 for steel; shipbuilding and plant sectors","51-200","Official catalogue has an overseas expansion and export-performance section","JIS; KS; ISO standards stated","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://eng.sealhs.co.kr/; https://eng.sealhs.co.kr/download.cm?tk=YToyOntpOjA7czoxMzoiYTBiMTc5YjNlYWY4OCI7aToxO3M6MjI6ImYyMDI1MDkyNTA5ZWViZjkwYzExNmEiO30%3D",86,91,88.5,"GO","Good heavy-industry fit; verify exact legal English name and contact"
